orderplot	oderAdmix	population	sample_ID
1	63	Algerian	Algerian43A22
2	74	Algerian	Algerian43A21
3	80	Algerian	Algerian43A34
4	81	Algerian	Algerian43A13
5	85	Algerian	Algerian43A24
6	93	Algerian	Algerian43A23
7	60	Jew_Libyan	LibyanJew1438
8	70	Jew_Libyan	LibyanJew1601
9	76	Jew_Libyan	LibyanJew1104
10	78	Jew_Libyan	LibyanJew1462
11	82	Jew_Libyan	LibyanJew1263
12	89	Jew_Libyan	LibyanJew1611
13	96	Jew_Libyan	LibyanJew1605
14	99	Jew_Libyan	LibyanJew1639
15	100	Jew_Libyan	LibyanJew1659
16	65	Egyptian1	Egypt17AQ176
17	73	Egyptian1	Egypt15AQ172
18	75	Egyptian1	Egypt3AQ172
19	79	Egyptian1	Egypt1AQ172
20	84	Egyptian1	Egypt5AQ172
21	88	Egyptian1	Egypt8AT113
22	90	Egyptian1	Egypt12AQ172
23	91	Egyptian1	Egypt9AQ177
24	95	Egyptian1	Egypt9AQ172
25	98	Egyptian1	Egypt7AQ172
26	10	Druze	HGDP00557
27	11	Druze	HGDP00558
28	12	Druze	HGDP00559
29	13	Druze	HGDP00560
30	14	Druze	HGDP00561
31	15	Druze	HGDP00562
32	16	Druze	HGDP00563
33	17	Druze	HGDP00564
34	18	Druze	HGDP00565
35	23	Syrian	syria464
36	25	Syrian	syria361
37	28	Syrian	syria485
38	31	Syrian	syria520
39	32	Syrian	syria4
40	34	Syrian	syria461
41	38	Syrian	syria6
42	41	Syrian	syria7
43	24	Lebanese	Lebanon5
44	26	Lebanese	Lebanon6
45	29	Lebanese	Lebanon7
46	33	Lebanese	Lebanon8
47	35	Lebanese	Lebanon1
48	37	Lebanese	Lebanon2
49	39	Lebanese	Lebanon3
50	42	Lebanese	Lebanon4
51	64	Jew_Yemenite	YemeniteJew4684
52	66	Jew_Yemenite	YemeniteJew4695
53	68	Jew_Yemenite	YemeniteJew4675
54	72	Jew_Yemenite	YemeniteJew4938
55	83	Jew_Yemenite	YemeniteJew4667
56	86	Jew_Yemenite	YemeniteJew4960
57	92	Jew_Yemenite	YemeniteJew5433
58	94	Jew_Yemenite	YemeniteJew4937
59	27	Yemeni	Yemen2
60	30	Yemeni	Yemen3
61	36	Yemeni	Yemen5
62	40	Yemeni	Yemen9
63	43	Yemeni	Yemen10
64	44	Yemeni	Yemenese1529
65	62	Jew_Ethiopian	EthiopianJew1818
66	67	Jew_Ethiopian	EthiopianJew4690
67	69	Jew_Ethiopian	EthiopianJew1574
68	71	Jew_Ethiopian	EthiopianJew1804
69	77	Jew_Ethiopian	EthiopianJew1822
70	87	Jew_Ethiopian	EthiopianJew1570
71	97	Jew_Ethiopian	EthiopianJew1831
72	19	Somali	Ayodo_21S
73	20	Somali	Ayodo_23S
74	21	Somali	Ayodo_69S
75	22	Somali	Ayodo_90S
76	55	Somali	Ayodo_43S
77	56	Somali	Ayodo_81S
78	57	Somali	Ayodo_52S
79	58	Somali	Ayodo_61S
80	59	Somali	Ayodo_41S
81	45	Masai_Kinyawa_MKK	NA21487
82	46	Masai_Kinyawa_MKK	NA21490
83	47	Masai_Kinyawa_MKK	NA21514
84	48	Masai_Kinyawa_MKK	NA21302
85	49	Masai_Kinyawa_MKK	NA21581
86	50	Masai_Kinyawa_MKK	NA21310
87	51	Masai_Kinyawa_MKK	NA21648
88	52	Masai_Kinyawa_MKK	NA21366
89	53	Masai_Kinyawa_MKK	NA21425
90	54	Masai_Kinyawa_MKK	NA21477
91	1	Khomani	SA062
92	2	Khomani	SA1004
93	3	Khomani	SA063
94	4	Khomani	SA010
95	5	Khomani	SA064
96	6	Khomani	SA073
97	7	Khomani	SA1025
98	8	Khomani	SA078
99	9	Khomani	SA083
100	61	Khomani	SA047
