PopName	sampleSize	geographicRegion	publication	lat	lon	qualityAssesment
Algerian	6	AFRICA	LazaridisNature2014	36.75	3.04	591738
Druze	42	EURASIA	PattersonGenetics2012	32	35	591295
Egyptian1	11	AFRICA	LazaridisNature2014	31.12	30.96	592597
Jew_Ethiopian	7	AFRICA	LazaridisNature2014	9.033333333	38.73333333	591662
Jew_Libyan	9	AFRICA	LazaridisNature2014	32.91666667	13.18333333	591220
Jew_Yemenite	8	EURASIA	LazaridisNature2014	15.35	44.2	592058
Khomani	12	AFRICA	LazaridisNature2014	-28.25	21.15	591530
Lebanese	8	EURASIA	LazaridisNature2014	33.815666	35.57373	592143
Masai_Kinyawa_MKK	10	AFRICA	LazaridisNature2014	-1.5	35.2	591582
Somali	13	AFRICA	LazaridisNature2014	5.6	48.3	591734
Syrian	8	EURASIA	LazaridisNature2014	35.128894	36.870117	592540
Yemeni	6	EURASIA	LazaridisNature2014	14.040673	44.571533	590839
